281	potw1425a	NGC 2441	SN 1995E	Supernova Host Galaxy	A curious supernova in NGC 2441
286	potw1246a	4C 73.08	4C 73.08	Galactic Fireflies	Galactic fireflies
287	heic1215b	MACS J0717.5+3745	MACS J0717.5+3745	Galaxy Cluster	Hubble image of MACS J0717
288	potw1238a	NGC 4634	NGC 4634	Spiral Galaxy	Glowing gas and dark dust in a side-on spiral
291	heic0901a	NGC 4921	NGC 4921	Anemic Spiral Galaxy	Unusual spiral NGC 4921 in the Coma Galaxy Cluster
292	opo0415a	AM 0644-741	AM 0644-741	Lure of the Rings	The lure of the rings
293	heic2609a	MXDFz4.4	Galactic pioneer MXDFz4.4	Galactic Pioneer	Galactic pioneer MXDFz4.4 (annotated Hubble and Webb image)
294	heic2605a	CDG-2	Galaxy field of low-surface-brightness galaxy CDG-2	Low-Surface-Brightness Galaxy	Galaxy field of low-surface-brightness galaxy CDG-2
298	potw2115a	Abell 2813	ACO 2813	Light Bends from Beyond	Light Bends from the Beyond
303	opo1443a	Abell 2744	Abell 2744	Galaxy Cluster	Hubble sees ghost light from dead galaxies in galaxy cluster Abell 2744
304	heic1421a	DDO 68	DDO 68	Dwarf Galaxy	Dwarf galaxy DDO 68
305	potw1438a	NGC 7793	Jets and explosions in NGC 7793	Galaxy Portrait	Jets and explosions in NGC 7793
306	heic1416a	MACS J0416.1-2403	MACS J0416.1-2403	Christmas Tree Galaxy Cluster	Hubble image of galaxy cluster MACS J0416.1–2403
308	heic1401a	Abell 2744	Abell 2744	Galaxy Cluster	Hubble Frontier Fields view of Abell 2744
310	heic1202a	NGC 1073 / VV 96 / PKS 0241+011	IXO 5	Galaxy Portrait	Hubble image of NGC 1073
312	heic0914a	NGC 4710	looks at sideways NGC 4710 (crop	Galaxy Portrait	Hubble looks at sideways NGC 4710 (crop)
313	heic0912a	NGC 2623	views results of NGC 2623 merger	Interacting Galaxies	Hubble views results of NGC 2623 merger
315	opo0207a	NGC 2787	Galaxy NGC 2787	Galaxy Portrait	Galaxy NGC 2787
317	opo22051a	HIPASS J1131–31	HIPASS J1131–31	Galaxy Portrait	Tiny, Hidden Galaxy Provides A Peek Into The Past
329	potw1918a	CL J0615-5746	SPT0615-JD	Distant Ancient Galaxy	Distant and ancient
331	eso1631a	Mrk 1018	Markarian 1018	Active Galaxy	The active galaxy Markarian 1018
332	heic1602a	NGC 4889	The sleeping giant NGC 4889	Sleeping Giant Galaxy	The sleeping giant NGC 4889
334	potw1520a	NGC 6240	revisits tangled NGC 6240	Tangled Merger Galaxy	Hubble revisits tangled NGC 6240
337	potw1445a	Abell 1413	Abell 1413	Galactic Neighbourhood	Hubble reveals a super-rich galactic neighbourhood
338	potw1352a	Messier 65	SN 2013am	Supernova Host Galaxy	Messier 65 through the years
339	potw1151a	LRG 3-757	LRG 3-757	Galaxy Portrait	Hubble captures a “lucky” galaxy alignment
341	heic0106b	NGC 1512 / IRAS 04022-4329	Composite ultraviolet-visible-infrared of NGC 1512	Barred Spiral Galaxy	Composite ultraviolet-visible-infrared image of NGC 1512
345	potw2120a	ACO S 295	ACO S 295	Menagerie of Galaxies	A Menagerie of Galaxies
351	potw2024a	PLCK G045.1+61.1	CNG2015] PLCK G045.1+61.1	Bright Cosmic Find	A Bright Find
357	heic1816a	Abell 370	Abell 370	Frontier Fields Cluster	BUFFALO’s view on Abell 370
359	heic1612a	LEDA 36252	LEDA 36252, a cosmic tadpole	Cosmic Tadpole	LEDA 36252, a cosmic tadpole
360	potw1604a	[LO95] 0313-192	LO95] 0313-192	Misbehaving Spiral	A misbehaving spiral
362	potw1430a	2MASX J06094582-2140234	2MASX J06094582-2140234	Cosmic Hair Ruffling	Galaxy gets a cosmic hair ruffling
365	potw1338a	MACS J0152.5-2852	MACS J0152.5-2852	Galaxy Cluster	A scattering of spiral and elliptical galaxies
366	potw1333a	PGC 16389 / ESO 252-1	APMBGC 252+125-117	Cosmic Optical Illusion	A cosmic optical illusion
368	heic0902a	NGC 7173 / NGC 7174 / NGC 7176 / HCG 90	HCG 90	Galaxy Portrait	Trio of galaxies mixes it up
369	opo0107a	NGC 4013 / IRAS 11559+4413	Edge-On of NGC 4013	Galaxy Portrait	Edge-On view of NGC 4013
371	opo9940a	NGC 221	NGC 221	Galaxy Portrait	Hubble identifies source of ultraviolet light in an old nebula
374	heic2101a	NGC 1614 / NGC 3256 / NGC 34 / NGC 3690 / NGC 4194 / NGC 6052	Showcases 6 Galaxy Mergers	Interacting Galaxies	Hubble Showcases 6 Galaxy Mergers
376	heic2019b	NGC 1052	Region around Galaxy NGC1052-DF4	Galaxy Portrait	Region around Galaxy NGC1052-DF4
